# SYNTHETIC -- generated by scripts/synthesize_sample.py, not a measurement
gpu_name,vec_bytes,stride,resident_warps,ilp,footprint_bytes,iters,bytes_moved,time_ms,achieved_gbps,spec_gbps,pct_of_spec,bytes_in_flight
"SYNTHETIC-HBM3e",16,1,2048,4,2147483648,512,2147483648,1.02576,2093.554,3352.000,62.46,4194304
"SYNTHETIC-HBM3e",16,2,2048,4,2147483648,512,2147483648,1.09011,1969.965,3352.000,58.77,4194304
"SYNTHETIC-HBM3e",16,4,2048,4,2147483648,512,2147483648,1.20421,1783.319,3352.000,53.20,4194304
"SYNTHETIC-HBM3e",16,8,2048,4,2147483648,512,2147483648,1.45688,1474.027,3352.000,43.97,4194304
"SYNTHETIC-HBM3e",16,16,2048,4,2147483648,512,2147483648,1.96190,1094.592,3352.000,32.65,4194304
"SYNTHETIC-HBM3e",16,32,2048,4,2147483648,512,2147483648,2.92678,733.736,3352.000,21.89,4194304
"SYNTHETIC-HBM3e",16,64,2048,4,2147483648,512,2147483648,4.84610,443.136,3352.000,13.22,4194304
"SYNTHETIC-HBM3e",16,128,2048,4,2147483648,512,2147483648,8.77011,244.864,3352.000,7.31,4194304
"SYNTHETIC-HBM3e",16,256,2048,4,2147483648,512,2147483648,16.85955,127.375,3352.000,3.80,4194304
"SYNTHETIC-HBM3e",4,1,2048,4,2147483648,512,536870912,0.55842,961.412,3352.000,28.68,1048576
"SYNTHETIC-HBM3e",8,1,2048,4,2147483648,512,1073741824,0.69608,1542.549,3352.000,46.02,2097152
"SYNTHETIC-HBM3e",16,1,2048,4,2147483648,512,2147483648,1.02663,2091.789,3352.000,62.40,4194304
"SYNTHETIC-HBM3e",16,1,8,1,2147483648,512,2097152,0.25239,8.309,3352.000,0.25,4096
"SYNTHETIC-HBM3e",16,1,8,2,2147483648,512,4194304,0.24783,16.924,3352.000,0.50,8192
"SYNTHETIC-HBM3e",16,1,8,4,2147483648,512,8388608,0.25195,33.295,3352.000,0.99,16384
"SYNTHETIC-HBM3e",16,1,8,8,2147483648,512,16777216,0.25372,66.124,3352.000,1.97,32768
"SYNTHETIC-HBM3e",16,1,8,1,2147483648,512,2097152,0.24787,8.461,3352.000,0.25,4096
"SYNTHETIC-HBM3e",16,1,8,2,2147483648,512,4194304,0.24807,16.908,3352.000,0.50,8192
"SYNTHETIC-HBM3e",16,1,8,4,2147483648,512,8388608,0.24779,33.853,3352.000,1.01,16384
"SYNTHETIC-HBM3e",16,1,8,8,2147483648,512,16777216,0.24927,67.307,3352.000,2.01,32768
"SYNTHETIC-HBM3e",16,1,8,1,2147483648,512,2097152,0.24684,8.496,3352.000,0.25,4096
"SYNTHETIC-HBM3e",16,1,8,2,2147483648,512,4194304,0.24395,17.193,3352.000,0.51,8192
"SYNTHETIC-HBM3e",16,1,8,4,2147483648,512,8388608,0.25048,33.490,3352.000,1.00,16384
"SYNTHETIC-HBM3e",16,1,8,8,2147483648,512,16777216,0.25098,66.846,3352.000,1.99,32768
"SYNTHETIC-HBM3e",16,1,8,1,2147483648,512,2097152,0.24432,8.584,3352.000,0.26,4096
"SYNTHETIC-HBM3e",16,1,8,2,2147483648,512,4194304,0.24705,16.977,3352.000,0.51,8192
"SYNTHETIC-HBM3e",16,1,8,4,2147483648,512,8388608,0.25068,33.464,3352.000,1.00,16384
"SYNTHETIC-HBM3e",16,1,8,8,2147483648,512,16777216,0.25421,65.998,3352.000,1.97,32768
"SYNTHETIC-HBM3e",16,1,16,1,2147483648,512,4194304,0.24842,16.884,3352.000,0.50,8192
"SYNTHETIC-HBM3e",16,1,16,2,2147483648,512,8388608,0.24827,33.789,3352.000,1.01,16384
"SYNTHETIC-HBM3e",16,1,16,4,2147483648,512,16777216,0.25443,65.940,3352.000,1.97,32768
"SYNTHETIC-HBM3e",16,1,16,8,2147483648,512,33554432,0.25851,129.800,3352.000,3.87,65536
